run_id,started_at_utc,completed_at_utc,duration_seconds,status,failed_stage,error
20260819T044342Z-e0f0d5ff,2026-08-19T04:43:42Z,2026-08-19T04:43:56Z,14.623,succeeded,,
20260819T044520Z-306e5104,2026-08-19T04:45:20Z,2026-08-19T04:45:35Z,15.097,succeeded,,
20260819T045955Z-18d12b08,2026-08-19T04:59:55Z,2026-08-19T05:00:14Z,18.248,succeeded,,
20260819T050445Z-8610366f,2026-08-19T05:04:45Z,2026-08-19T05:05:00Z,15.537,succeeded,,
